date,prot_ter,prot_terdum,prot_us,prot_usdum,jihad,tvideo,zarb,zarb,ghazwa,usefp,usaid,usimmi
17230,0,0,0,0,0,0,0,0,0,0,0,0
17231,0,0,0,0,0,0,0,0,0,0,0,0
17232,0,0,0,0,0,0,0,0,0,0,0,0
17233,0,0,0,0,0,0,0,0,0,0,0,0
17234,0,0,0,0,0,0,0,0,0,0,0,0
17235,0,0,1,1,64,0,0,0,0,0,0,0
17236,0,0,0,0,89,0,0,0,0,0,0,0
17237,0,0,0,0,59,0,0,0,0,0,0,0
17238,0,0,3,1,0,0,0,0,0,0,0,0
17239,0,0,0,0,0,0,0,0,0,0,0,0
17240,0,0,0,0,0,0,0,0,0,0,0,0
17241,0,0,0,0,0,0,0,0,0,0,0,0
17242,0,0,0,0,0,0,0,0,0,0,0,0
17243,0,0,0,0,0,0,0,0,0,0,68,0
17244,0,0,0,0,61,0,0,0,0,0,0,0
17245,0,0,2,1,0,0,0,0,0,0,0,0
17246,0,0,0,0,59,0,0,0,0,0,0,0
17247,0,0,0,0,0,0,0,0,0,0,0,0
17248,0,0,0,0,0,0,0,0,0,0,0,0
17249,0,0,0,0,0,0,0,0,0,0,0,0
17250,0,0,0,0,0,0,0,0,0,0,0,0
17251,0,0,0,0,57,0,0,0,0,0,0,0
17252,0,0,0,0,0,0,0,0,0,0,0,0
17253,0,0,0,0,0,0,0,0,0,0,0,0
17254,0,0,0,0,57,0,0,0,0,0,0,0
17255,0,0,0,0,63,0,0,0,0,0,0,0
17256,0,0,0,0,0,0,0,0,0,100,0,0
17257,0,0,0,0,0,0,0,0,0,0,0,0
17258,0,0,0,0,0,0,0,0,0,0,0,0
17259,0,0,2,1,0,0,0,0,0,0,0,0
17260,0,0,0,0,0,0,0,0,0,0,0,0
17261,0,0,0,0,59,0,0,0,0,0,0,0
17262,0,0,0,0,0,0,0,0,0,0,0,0
17263,0,0,0,0,0,0,0,0,0,0,0,0
17264,0,0,0,0,0,0,0,0,0,0,0,0
17265,0,0,0,0,0,0,0,0,0,0,0,0
17266,0,0,0,0,0,0,0,0,0,0,0,0
17267,0,0,0,0,0,0,0,0,0,0,0,0
17268,0,0,0,0,0,0,0,0,0,0,0,0
17269,0,0,0,0,0,0,0,0,0,0,0,0
17270,0,0,0,0,0,0,0,0,0,0,0,0
17271,0,0,0,0,0,0,0,0,0,0,0,0
17272,0,0,0,0,0,0,0,0,0,0,0,0
17273,0,0,0,0,59,0,0,0,0,0,0,0
17274,0,0,0,0,0,0,0,0,0,0,0,0
17275,0,0,0,0,0,0,0,0,0,0,0,0
17276,0,0,0,0,0,0,0,0,0,0,0,0
17277,0,0,0,0,0,0,0,0,0,0,0,0
17278,0,0,0,0,0,100,0,0,0,0,0,58
17279,0,0,0,0,0,0,0,0,0,0,0,0
17280,0,0,0,0,0,0,0,0,0,0,0,0
17281,0,0,0,0,0,0,0,0,0,0,0,0
17282,0,0,0,0,0,0,0,0,0,0,0,0
17283,5,1,0,0,0,0,0,0,0,0,0,0
17284,0,0,0,0,0,0,0,0,0,0,0,47
17285,0,0,0,0,0,0,0,0,0,0,0,0
17286,1,1,0,0,0,0,0,0,0,0,0,0
17287,0,0,0,0,0,0,0,0,0,0,0,0
17288,0,0,0,0,0,0,0,0,0,0,0,0
17289,0,0,0,0,0,0,0,0,0,0,0,0
17290,0,0,2,1,0,0,0,0,0,0,0,0
17291,0,0,0,0,58,0,0,0,0,0,0,0
17292,0,0,0,0,0,0,0,0,0,0,0,0
17293,0,0,0,0,56,0,0,0,0,0,0,0
17294,0,0,0,0,53,0,0,0,0,34,0,0
17295,0,0,0,0,0,0,0,0,0,0,0,0
17296,0,0,0,0,0,0,0,0,0,0,0,0
17297,0,0,0,0,0,0,0,0,0,0,0,0
17298,0,0,0,0,0,0,0,0,0,0,0,0
17299,0,0,0,0,80,0,0,0,0,0,0,0
17300,0,0,0,0,53,0,0,0,0,0,44,0
17301,0,0,0,0,51,0,0,0,0,0,0,0
17302,0,0,0,0,51,0,0,0,0,0,0,0
17303,0,0,2,1,0,0,0,0,0,0,0,0
17304,1,1,0,0,0,0,0,0,0,0,0,0
17305,0,0,0,0,0,0,0,0,0,0,0,0
17306,0,0,0,0,0,0,0,0,0,0,0,0
17307,0,0,0,0,100,0,0,0,0,0,0,0
