date,drones,drone_naf,target1,target3,unknown,unknown2,mil_act,ramadan
18389,0,0,0,0,0,0,4,0
18390,0,0,0,0,0,0,3,0
18391,1,1,0,0,1,1,2,0
18392,0,0,0,0,0,0,4,0
18393,2,2,0,0,2,2,1,0
18394,0,0,0,0,0,0,0,0
18395,0,0,0,0,0,0,1,0
18396,0,0,0,0,0,0,0,0
18397,1,1,0,0,1,1,0,0
18398,0,0,0,0,0,0,2,0
18399,0,0,0,0,0,0,2,0
18400,0,0,0,0,0,0,2,0
18401,0,0,0,0,0,0,2,0
18402,0,0,0,0,0,0,4,0
18403,1,1,1,1,0,0,4,0
18404,0,0,0,0,0,0,2,0
18405,0,0,0,0,0,0,2,0
18406,0,0,0,0,0,0,4,0
18407,0,0,0,0,0,0,2,0
18408,0,0,0,0,0,0,2,0
18409,0,0,0,0,0,0,2,0
18410,1,1,0,0,1,1,1,0
18411,0,0,0,0,0,0,3,0
18412,0,0,0,0,0,0,2,0
18413,0,0,0,0,0,0,2,0
18414,0,0,0,0,0,0,2,0
18415,0,0,0,0,0,0,2,0
18416,0,0,0,0,0,0,2,0
18417,0,0,0,0,0,0,0,0
18418,0,0,0,0,0,0,2,0
18419,0,0,0,0,0,0,1,0
18420,0,0,0,0,0,0,0,0
18421,0,0,0,0,0,0,2,0
18422,0,0,0,0,0,0,0,0
18423,1,1,0,0,1,1,0,0
18424,1,1,1,0,0,1,0,0
18425,0,0,0,0,0,0,2,0
18426,0,0,0,0,0,0,4,0
18427,0,0,0,0,0,0,0,0
18428,0,0,0,0,0,0,0,0
18429,0,0,0,0,0,0,2,0
18430,0,0,0,0,0,0,0,0
18431,0,0,0,0,0,0,0,0
18432,1,1,0,1,1,0,2,0
18433,0,0,0,0,0,0,2,0
18434,0,0,0,0,0,0,0,0
18435,0,0,0,0,0,0,2,0
18436,0,0,0,0,0,0,4,0
18437,0,0,0,0,0,0,3,0
18438,0,0,0,0,0,0,1,0
18439,1,1,1,0,0,1,1,0
18440,1,1,0,0,1,1,2,0
18441,0,0,0,0,0,0,1,0
18442,1,1,1,1,0,0,0,0
